FNF,COUNT,MEAN_Elev,MAX_Elev,SD_Elev
1,1513.000000000000000,1438.650363516193011,3112,413.728000615845076
2,480.000000000000000,717.364583333333371,2602,548.163377193204497
3,817.000000000000000,1520.619339045287688,2577,408.549983463820638
4,262.000000000000000,1379.080152671755741,2485,542.119917587600980
5,464.000000000000000,1340.696120689655118,2763,701.847734363472000
6,175.000000000000000,1618.308571428571440,2813,646.158183798152322
7,75.000000000000000,591.893333333333317,1498,293.435870489771730
8,247.000000000000000,1674.198380566801688,3159,773.758663030827051
9,341.000000000000000,1685.727272727272748,3664,910.767229312355539
10,244.000000000000000,1495.934426229508290,3345,835.518121085239727
11,376.000000000000000,2008.587765957446891,3730,878.262762660808562
12,332.000000000000000,2063.813253012048335,3749,912.805115849879712
13,152.000000000000000,1710.046052631578959,3501,847.363877511584406
14,115.000000000000000,1261.991304347826144,2684,745.612058666559847
15,440.000000000000000,2051.690909090908917,4106,672.199910543682449
